49765	
	(-5.44136905e-34,9.142287636e-34)	(-1.10229329e-06,-2.883179049e-07)	(6.96237553e-09,-1.766537981e-08)	(-1.098879968e-06,-2.903540027e-07)	(7.859833659e-09,-2.361406521e-08)
	(-1.064543253e-06,-3.334533876e-07)	(-4.775240278e-34,1.181628435e-33)	(-1.066644763e-06,-3.291211695e-07)	(-7.09683638e-11,-2.578216188e-11)	(-5.283888061e-34,1.071011032e-33)
	(-1.078684205e-06,-3.0956392e-07)	(2.545564917e-11,1.160043729e-11)	(-4.691415374e-34,1.15063679e-33)	(-1.072264863e-06,-3.188204311e-07)	(9.723973137e-09,-2.80315106e-08)
	(-1.069348075e-06,-3.233607192e-07)	(9.855366594e-09,-2.726491177e-08)	(-1.075403462e-06,-3.135581736e-07)	(7.224738149e-09,-1.911790292e-08)	(-1.0825995e-06,-3.04636933e-07)
	(1.682152967e-08,-4.596908028e-08)	(-1.079143058e-06,-3.078349146e-07)	(1.393710746e-08,-3.599062329e-08)	(-1.095342657e-06,-2.924097096e-07)	(1.420241139e-08,-3.7468935e-08)
	(-1.086799927e-06,-2.997185048e-07)	(-7.266882653e-08,1.496330736e-07)	(2.111816912e-08,-5.723742605e-08)	(-1.08414194e-06,-3.014866331e-07)	(2.032751152e-08,-5.3873296e-08)
	(-1.091375551e-06,-2.947913461e-07)	(-7.325392823e-34,1.084969228e-33)	(-1.255704658e-06,-2.936482192e-07)	(-5.881043328e-34,2.943142462e-34)	(-1.406598686e-06,-2.826467531e-07)
	(5.199385566e-09,-1.677934625e-08)	(-1.415369611e-06,-2.881170764e-07)	(-4.665636779e-34,2.059982152e-34)	(-1.422233301e-06,-2.9398509e-07)	(-4.694553523e-11,-3.884965863e-12)
	(4.114930322e-09,-1.508502272e-08)	(-1.427483197e-06,-2.983356303e-07)	(-4.504216889e-34,1.543497018e-34)	(-1.435913809e-06,-3.075278245e-07)	(-2.800683146e-34,1.123226024e-34)
	(-1.447250725e-06,-3.22978438e-07)	(2.295003213e-10,2.810872403e-11)	(1.935636182e-09,-1.597720147e-08)	(-1.455801116e-06,-3.384945608e-07)	(5.426589877e-09,-3.823106342e-08)
	(-1.456503012e-06,-3.359339261e-07)	(4.040464022e-09,-2.216533171e-08)	(-1.446412581e-06,-3.20568995e-07)	(3.261728904e-09,-1.485018977e-08)	(-1.440271319e-06,-3.126096074e-07)
	(7.154823665e-09,-1.657122647e-08)	(-1.312021643e-06,-2.674634581e-07)	(-7.75754559e-34,8.615338015e-34)	(-1.292227296e-06,-2.737382262e-07)	(-7.727278117e-34,7.549463117e-34)
	(-1.311558013e-06,-2.678141346e-07)	(-6.702956395e-12,6.873712158e-11)	(-7.64630308e-34,6.601958112e-34)	(-1.331476334e-06,-2.646670499e-07)	(6.836281178e-09,-1.571203951e-08)
	(-1.331951305e-06,-2.645450958e-07)	(-1.347213542e-08,-5.623514657e-08)	(-1.418787744e-06,-5.154869544e-07)	(-1.223572722e-08,-4.8246007e-08)	(-1.392599812e-06,-5.368106371e-07)
	(-1.586241493e-08,-6.527170659e-08)	(-1.403554696e-06,-5.303434404e-07)	(-1.106620533e-08,-4.396295186e-08)	(-1.408700041e-06,-5.235468982e-07)	(-1.329931586e-07,2.481823987e-07)
	(-5.099415708e-09,-2.452706244e-08)	(-1.293298866e-06,-5.73601825e-07)	(6.747714821e-34,1.037323128e-33)	(-1.242917631e-06,-5.738717524e-07)	(3.82146773e-11,-1.537047274e-10)
	(-3.498867513e-09,-2.322782011e-08)	(-1.234035715e-06,-5.73087012e-07)	(-5.758292573e-09,-3.365509138e-08)	(-1.252390662e-06,-5.751597639e-07)	(7.351604248e-34,8.513261089e-34)
	(-1.264927518e-06,-5.750167352e-07)	(7.117136039e-34,8.831175464e-34)	(-1.286997196e-06,-5.74138239e-07)	(-4.888813014e-11,2.720061938e-10)	(-6.285312679e-09,-3.263851058e-08)
	(-1.274541174e-06,-5.753495859e-07)	(-6.544458421e-09,-4.660114514e-08)	(-1.224963886e-06,-5.721824536e-07)	(-1.005219273e-07,1.728644394e-07)	(-8.185319971e-09,-8.491940596e-08)
	(-1.185324579e-06,-5.630434906e-07)	(-6.219202393e-09,-6.049741479e-08)	(-1.191564688e-06,-5.637820669e-07)	(-1.249174384e-07,2.142476445e-07)	(-1.217911545e-08,-1.041773717e-07)
	(-1.200641025e-06,-5.69843732e-07)	(-9.86574e-09,-8.129328075e-08)	(-1.207154413e-06,-5.699939077e-07)	(-1.041353834e-08,-7.396229485e-08)	(-1.224271136e-06,-5.734448888e-07)
	(-9.027139562e-09,-5.655627545e-08)	(-1.243141432e-06,-5.751636044e-07)	(-6.46079579e-09,-5.359487167e-08)	(-1.208063935e-06,-5.686358663e-07)	(-1.216109394e-08,-4.926807875e-08)
	(-1.356182156e-06,-5.573963627e-07)	(-1.717109592e-08,-7.029873299e-08)	(-1.386735025e-06,-5.43074057e-07)	(-1.322832695e-08,-5.264452763e-08)	(-1.375048355e-06,-5.482343963e-07)
	(-1.487667037e-07,2.706760029e-07)	(-1.859884106e-08,-7.732230871e-08)	(-1.367898999e-06,-5.547058608e-07)	(-1.651555856e-08,-6.839719185e-08)	(-1.357123126e-06,-5.586195566e-07)
	(-1.055613801e-08,-4.673305454e-08)	(-1.318133907e-06,-5.699755605e-07)	(-1.53111751e-08,-6.885014405e-08)	(-1.317956608e-06,-5.715860501e-07)	(-1.533716653e-08,-6.56694121e-08)
	(-1.337261257e-06,-5.659452277e-07)	(-1.018106828e-08,-4.801225436e-08)	(-1.299390959e-06,-5.737455014e-07)	(-1.172235509e-07,2.055726315e-07)	(-1.076731672e-08,-4.536079201e-08)
	(-1.336446938e-06,-5.647888139e-07)	(-1.180398891e-07,2.104047585e-07)	(-1.106040828e-08,-5.679365376e-08)	(-1.280523622e-06,-5.762750004e-07)	(-1.483431768e-08,-7.068315309e-08)
	(-1.299045306e-06,-5.752506455e-07)	(5.881501798e-09,-4.824754301e-08)	(-1.461389147e-06,-3.44814528e-07)	(7.584858495e-35,5.719584869e-35)	(-1.467324604e-06,-3.955368893e-07)
	(-3.224733272e-10,-1.371022716e-10)	(1.216500608e-10,-3.518396308e-08)	(-1.468094909e-06,-3.788084383e-07)	(3.390131669e-09,-4.744675734e-08)	(-1.466353667e-06,-3.609823941e-07)
	(2.444045554e-09,-3.210428761e-08)	(-1.463153346e-06,-3.553241361e-07)	(-1.172540112e-07,2.493876269e-07)	(-1.243721835e-09,-1.922622987e-08)	(-1.467908389e-06,-3.992406285e-07)
	(8.710537764e-35,1.775179729e-35)	(-1.46626101e-06,-4.144748507e-07)	(-3.767321227e-11,-1.622971203e-08)	(-1.466368112e-06,-3.75092433e-07)	(2.557387206e-34,4.994459586e-35)
	(-1.457057267e-06,-4.515259064e-07)	(2.652756425e-34,1.126803391e-34)	(-1.46266326e-06,-4.332658432e-07)	(-1.810361632e-10,-1.711165503e-10)	(-3.134076779e-09,-2.003328105e-08)
	(-1.462048613e-06,-4.377644274e-07)	(-2.239982819e-09,-1.977948467e-08)	(-1.466272579e-06,-4.181671436e-07)	(4.134729749e-34,1.997002764e-34)	(-1.449186166e-06,-4.690812457e-07)
	(-5.950734511e-11,-7.65273129e-11)	(-3.488496995e-09,-1.540107351e-08)	(-1.442583271e-06,-4.813054339e-07)	(-1.142452701e-08,-4.9626916e-08)	(-1.431820473e-06,-5.000587086e-07)
	(-7.438850186e-09,-3.163818137e-08)	(-1.435210005e-06,-4.934272091e-07)	(-1.016660197e-07,1.949936958e-07)	(-8.942449729e-09,-4.119271752e-08)	(-1.442968689e-06,-4.833638423e-07)
	(-5.398148197e-09,-2.538550559e-08)	(-1.449173765e-06,-4.705621473e-07)	(-3.925627357e-09,-2.072564227e-08)	(-1.455801763e-06,-4.558189135e-07)	(3.159557704e-10,-5.064237472e-08)
	(-1.470423583e-06,-3.849841905e-07)	(-1.22945398e-08,-5.854854614e-08)	(-1.440316496e-06,-4.904730829e-07)	(-1.700264328e-08,-8.235674208e-08)	(-1.428870422e-06,-5.101178584e-07)
	(-1.745694588e-08,-7.64365671e-08)	(-1.414411297e-06,-5.230702072e-07)	(-1.491541113e-08,-6.740920801e-08)	(-1.428521163e-06,-5.071021698e-07)	(-2.175342872e-07,4.126958139e-07)
	(-1.48177613e-08,-7.52245191e-08)	(-1.438920676e-06,-4.963274532e-07)	(3.646426944e-09,-7.436210188e-08)	(-1.097171125e-06,-4.998020363e-07)	(5.846758412e-09,-9.897299547e-08)
	(-1.089499066e-06,-4.923463076e-07)	(5.287369852e-09,-7.192695051e-08)	(-1.086426671e-06,-4.856406635e-07)	(-1.290783849e-07,2.278545888e-07)	(7.155915214e-09,-7.439338575e-08)
	(-1.078164064e-06,-4.728861722e-07)	(8.439332353e-09,-1.004773739e-07)	(-1.079194402e-06,-4.77498378e-07)	(8.305410783e-09,-5.164211975e-08)	(-1.06198772e-06,-4.35624708e-07)
	(-8.946406962e-08,1.630271467e-07)	(8.991807717e-09,-6.424022602e-08)	(-1.065965748e-06,-4.477912937e-07)	(1.312596789e-08,-8.439769708e-08)	(-1.060719159e-06,-4.357169012e-07)
	(1.149526309e-08,-6.332757104e-08)	(-1.058004923e-06,-4.227522259e-07)	(9.075329117e-09,-7.666971883e-08)	(-1.07088296e-06,-4.598906245e-07)	(-1.35554961e-07,2.427898108e-07)
	(1.079292668e-08,-1.026131733e-07)	(-1.071557959e-06,-4.643916774e-07)	(1.296764267e-08,-9.665580035e-08)	(-1.064458511e-06,-4.479688849e-07)	(-4.488642289e-09,-7.342396176e-08)
	(-1.160384234e-06,-5.508512889e-07)	(-1.459769391e-07,2.506735804e-07)	(-3.232026808e-09,-7.602664462e-08)	(-1.14715897e-06,-5.434608725e-07)	(-6.980247869e-09,-9.145989551e-08)
	(-1.169545053e-06,-5.566254575e-07)	(-6.188619541e-09,-1.046161909e-07)	(-1.15475999e-06,-5.499565317e-07)	(-9.941917937e-09,-1.082135352e-07)	(-1.178832094e-06,-5.623534472e-07)
	(-2.279528895e-07,3.909732962e-07)	(-1.242423849e-08,-1.208552933e-07)	(-1.185174578e-06,-5.662432374e-07)	(-9.083444225e-09,-1.211294069e-07)	(-1.163488272e-06,-5.564168137e-07)
	(3.373085537e-09,-1.010458578e-07)	(-1.10085896e-06,-5.064284567e-07)	(1.717877425e-09,-7.646235867e-08)	(-1.10936765e-06,-5.132776484e-07)	(-1.417696247e-07,2.466295704e-07)
	(1.53530954e-11,-7.769764717e-08)	(-1.121539371e-06,-5.245700278e-07)	(-4.303923577e-09,-1.074931583e-07)	(-1.141653608e-06,-5.421363882e-07)	(-1.829266048e-09,-7.859591944e-08)
	(-1.134779617e-06,-5.350664539e-07)	(-1.512272959e-07,2.607507275e-07)	(9.584935652e-10,-1.090631412e-07)	(-1.111957038e-06,-5.186132386e-07)	(-1.493605901e-09,-1.098403956e-07)
	(-1.124641128e-06,-5.297852622e-07)	(1.067188137e-08,-4.453634651e-08)	(-1.054031823e-06,-3.8832028e-07)	(-7.711428673e-08,1.456875887e-07)	(1.182837841e-08,-4.505044335e-08)
	(-1.054338176e-06,-3.745257778e-07)	(1.31410381e-08,-5.950519601e-08)	(-1.05417501e-06,-3.98994209e-07)	(1.645617898e-08,-6.770063045e-08)	(-1.053305672e-06,-3.830584787e-07)
