49765	
	(4.354731404e-07,-1.334608171e-06)	(-3.704723891e-34,-3.051238254e-34)	(4.404356568e-07,-1.336078764e-06)	(-7.764116702e-12,6.326469945e-11)	(-3.454650826e-34,-1.850518036e-34)
	(4.651249354e-07,-1.340446499e-06)	(1.074464983e-11,-3.228906895e-11)	(-3.373787816e-34,-2.97377913e-34)	(4.525995263e-07,-1.338968705e-06)	(2.278062762e-08,7.260323467e-09)
	(4.46540507e-07,-1.337998832e-06)	(2.264576775e-08,6.653646563e-09)	(4.589393035e-07,-1.340215874e-06)	(1.632182969e-08,4.300175304e-09)	(4.722581523e-07,-1.340822792e-06)
	(3.871238598e-08,1.074445465e-08)	(4.659550348e-07,-1.341376837e-06)	(3.225378628e-08,6.963941476e-09)	(4.933520574e-07,-1.339267402e-06)	(3.247206188e-08,8.05484854e-09)
	(4.7943363e-07,-1.341030935e-06)	(-1.586052897e-07,-9.326059416e-08)	(4.904019592e-08,1.265648356e-08)	(4.74761473e-07,-1.342069484e-06)	(4.74208861e-08,1.09401544e-08)
	(4.868628176e-07,-1.341077968e-06)	(2.110572126e-34,1.405981448e-34)	(6.033661912e-07,-1.667271628e-06)	(-4.103585356e-34,8.536084661e-34)	(7.891873028e-07,-1.514168888e-06)
	(2.553127231e-08,-4.345809608e-09)	(7.963425756e-07,-1.498239791e-06)	(-6.639054077e-34,8.885594599e-34)	(8.012547877e-07,-1.483419728e-06)	(1.078968777e-10,2.234003363e-11)
	(2.418262715e-08,-3.986932932e-09)	(8.049372192e-07,-1.472483868e-06)	(-6.166519121e-34,9.197708079e-34)	(8.100230517e-07,-1.45166046e-06)	(-9.241708676e-34,8.876357894e-34)
	(8.149866205e-07,-1.419283198e-06)	(-4.899679579e-10,-1.384375757e-10)	(2.86823871e-08,-3.610321323e-09)	(8.165661571e-07,-1.38940152e-06)	(6.659434481e-08,-9.032598752e-09)
	(8.184105876e-07,-1.393403242e-06)	(3.83257827e-08,-5.450473503e-09)	(8.149950047e-07,-1.423760563e-06)	(2.501956611e-08,-3.817553565e-09)	(8.121222034e-07,-1.440481251e-06)
	(1.577594561e-08,-2.080083254e-09)	(6.862257689e-07,-1.63358075e-06)	(9.085100217e-35,3.907154303e-34)	(6.588467914e-07,-1.648149151e-06)	(1.347453176e-35,4.977634063e-34)
	(6.854479202e-07,-1.633687893e-06)	(1.569651271e-10,-7.440133641e-11)	(-2.975838004e-35,5.845103922e-34)	(7.111325157e-07,-1.615762532e-06)	(1.676484266e-08,-2.710930958e-09)
	(7.115316303e-07,-1.615395749e-06)	(9.232371125e-08,5.773726213e-09)	(6.905139083e-07,-1.141309205e-06)	(7.439320556e-08,7.857438014e-09)	(6.524711623e-07,-1.120162229e-06)
	(1.039182167e-07,8.347413052e-09)	(6.674659262e-07,-1.126386111e-06)	(7.036547091e-08,5.886657913e-09)	(6.757263451e-07,-1.132937643e-06)	(-2.165088331e-07,-1.507212091e-07)
	(3.029703398e-08,6.824728033e-09)	(5.309579938e-07,-1.097328649e-06)	(-1.539242513e-33,-5.119758475e-34)	(4.794369427e-07,-1.107430684e-06)	(-2.011031816e-11,1.230880674e-10)
	(2.55394661e-08,7.222882357e-09)	(4.710414973e-07,-1.110171489e-06)	(3.859643053e-08,1.009283309e-08)	(4.886896041e-07,-1.104215916e-06)	(-1.608834592e-33,-3.502559518e-34)
	(5.011734597e-07,-1.101612102e-06)	(-1.633670269e-33,-3.695038737e-34)	(5.24181497e-07,-1.097973387e-06)	(2.155621585e-11,-2.41642917e-10)	(3.906619865e-08,9.407861124e-09)
	(5.110679502e-07,-1.099397002e-06)	(5.072607669e-08,1.460918666e-08)	(4.626899338e-07,-1.113119875e-06)	(-1.624209002e-07,-9.975387094e-08)	(8.766409083e-08,2.78540667e-08)
	(4.28640969e-07,-1.130760628e-06)	(6.232589571e-08,1.968795852e-08)	(4.336665596e-07,-1.128630157e-06)	(-2.05740787e-07,-1.231187083e-07)	(1.127612772e-07,3.34822098e-08)
	(4.413810106e-07,-1.120900884e-06)	(8.718666345e-08,2.596447887e-08)	(4.469355906e-07,-1.119292758e-06)	(8.171962656e-08,2.30318886e-08)	(4.621562081e-07,-1.112190491e-06)
	(6.398550634e-08,1.72397553e-08)	(4.79751525e-07,-1.106318941e-06)	(5.658651888e-08,1.716550395e-08)	(4.476273286e-07,-1.120295506e-06)	(7.007426535e-08,1.061044668e-08)
	(6.042917698e-07,-1.103157883e-06)	(1.079867812e-07,1.102973314e-08)	(6.438011075e-07,-1.114570449e-06)	(7.823289598e-08,9.851327594e-09)	(6.285428221e-07,-1.110172726e-06)
	(-2.379863601e-07,-1.621738375e-07)	(1.145321088e-07,1.414941601e-08)	(6.187846572e-07,-1.104859958e-06)	(9.850936905e-08,1.389119968e-08)	(6.052518517e-07,-1.102128743e-06)
	(6.123037493e-08,1.19441218e-08)	(5.586544335e-07,-1.096511988e-06)	(9.126800986e-08,1.70990307e-08)	(5.58408618e-07,-1.095247576e-06)	(9.025522209e-08,1.518320259e-08)
	(5.809776858e-07,-1.097621009e-06)	(6.064845657e-08,1.293216158e-08)	(5.376300818e-07,-1.096221878e-06)	(-1.858444648e-07,-1.204423264e-07)	(6.169514215e-08,1.083439338e-08)
	(5.801197627e-07,-1.09860385e-06)	(-1.871601883e-07,-1.245764843e-07)	(6.915523461e-08,1.607264973e-08)	(5.173843654e-07,-1.09749103e-06)	(9.053559974e-08,1.855518514e-08)
	(5.372567067e-07,-1.095080027e-06)	(8.400759555e-08,-1.117595544e-08)	(8.191001783e-07,-1.376856442e-06)	(-1.308890122e-33,7.620737958e-34)	(8.009084639e-07,-1.294714907e-06)
	(6.242112133e-10,2.66064022e-10)	(6.501001944e-08,-5.990093908e-09)	(8.099028705e-07,-1.320415727e-06)	(8.473305963e-08,-9.9889522e-09)	(8.166781033e-07,-1.349082603e-06)
	(5.810583421e-08,-6.727053799e-09)	(8.16168304e-07,-1.359115837e-06)	(-2.261769917e-07,-1.601425803e-07)	(3.623271111e-08,-2.40738253e-09)	(7.998128218e-07,-1.289097394e-06)
