80107	
	(-0.08246707573,0.06393413744)	(0.8045834741,0.2893799802)	(-0.07724202192,0.05565493077)	(0.7930377536,0.318334496)	(0.004432126211,-0.01779765948)
	(-0.1155184405,0.07198491854)	(0.7664589199,0.3688396776)	(-0.1221477893,0.06801898092)	(0.7456397769,0.4060821148)	(-0.121076709,0.0616409507)
	(0.7289620166,0.4339198734)	(-0.09654766649,0.04491105598)	(0.7123363818,0.4619517678)	(-0.07763899419,0.03921835039)	(0.7285225608,0.439428403)
	(0.006815964307,-0.01556094344)	(-0.07959700593,0.04399780922)	(0.7454542377,0.4117017567)	(-0.08133275605,0.04896412906)	(0.7613565145,0.3833446603)
	(0.00596956696,-0.01743559414)	(-0.1404057647,0.0658404811)	(0.7127149768,0.455962886)	(-0.03350321524,0.01176492536)	(0.6608924781,0.5322766233)
	(-0.06166713219,0.01666317693)	(0.6170965248,0.5784558775)	(-0.09386023759,0.03203350492)	(0.6552831688,0.5355876653)	(-0.1158415606,0.04933593822)
	(0.6953399331,0.4836944787)	(0.01141457597,-0.02198005107)	(1.819186403e-32,3.08327857e-33)	(0.5936894108,0.6021447585)	(0.0001935462685,0.0001133909629)
	(-0.06090498857,0.01948127908)	(0.6447848482,0.5494723674)	(-0.1188371629,0.04362538081)	(0.6679967476,0.5184277765)	(-0.1530061273,0.06344544426)
	(0.689442575,0.4868589784)	(-0.09148012488,0.03648962898)	(0.6835962714,0.5015213964)	(-0.04339206189,0.009560554276)	(0.5872287104,0.6074830341)
	(-0.06647786538,0.02474925842)	(0.6712227824,0.518651517)	(0.006949255864,-0.01212420429)	(1.890965043e-32,2.404703219e-33)	(0.6226425526,0.5742961405)
	(1.862850273e-32,1.439391013e-33)	(0.6500936797,0.5450403856)	(1.393637308e-05,-5.978004333e-06)	(-1.597903407e-32,1.032083937e-32)	(-0.8819209007,0.07347700642)
	(-1.498505706e-32,1.170823381e-32)	(-0.8707295457,0.1545810418)	(0.02144221773,-0.0413183108)	(-0.8748289293,0.1275781202)	(0.02138605348,-0.03752119788)
	(-0.8795532184,0.09264291897)	(-1.519591713e-32,1.081192945e-32)	(-0.8772989504,0.1142012139)	(9.825650482e-06,-5.481227253e-06)	(-1.880548682e-32,4.101985574e-33)
	(-0.8502550394,-0.2523056668)	(-1.846066616e-32,4.842407237e-33)	(-0.8608695934,-0.2124218475)	(-3.299674692e-07,-3.555624699e-06)	(0.03280794333,-0.02824593037)
	(-0.8608131851,-0.2107868532)	(-1.827281076e-32,5.740533363e-33)	(-0.8695688652,-0.1721209589)	(-1.77958314e-32,7.3791505e-33)	(-0.8813372338,-0.09062134597)
	(0.03136085261,-0.02967330485)	(-0.8694688806,-0.1704812556)	(0.03770260325,-0.03909677464)	(-0.8760670302,-0.1295098993)	(-1.769554895e-32,6.431984808e-33)
	(-0.8765252082,-0.1314599284)	(0.0001587889005,-7.192997971e-06)	(-1.942321617e-32,6.264542597e-34)	(-0.7891396452,-0.4059918184)	(-1.888008975e-32,1.475565398e-33)
	(-0.80716115,-0.3685898239)	(4.197606375e-06,1.06307946e-05)	(0.03343003103,-0.02068849444)	(-0.8171742775,-0.344622591)	(0.06084636735,-0.03563846869)
	(-0.8078846188,-0.3641938033)	(0.04126623731,-0.02227135467)	(-0.7950525918,-0.3930989746)	(0.06024656254,-0.04347512007)	(-0.8387714747,-0.284581399)
	(-1.862284665e-32,3.136096336e-33)	(-0.8376825839,-0.2917102373)	(-0.0001592492209,5.545227414e-06)	(0.03236876359,-0.02216552535)	(-0.8322570409,-0.3061050431)
	(0.0341068989,-0.02677645615)	(-0.8502482883,-0.2506718822)	(0.0654037016,-0.04313076056)	(-0.826013073,-0.3197089763)	(-0.002336068232,0.01221578721)
	(0.09278527398,-0.05793184542)	(-0.8169045839,-0.3389471173)	(0.09293061421,-0.06458492337)	(-0.832467337,-0.297723329)	(-0.06112656673,0.1329530588)
	(0.8537356662,-0.1278934536)	(-0.04492897281,0.1108085111)	(0.8495776236,-0.1668152533)	(-0.007368760511,-0.02077570767)	(-0.05686469903,0.1519587972)
	(0.841897049,-0.192074316)	(-0.06590503243,0.1567388529)	(0.8476399229,-0.1576715225)	(-0.03676459475,0.1024992765)	(0.843324797,-0.2019444932)
	(-0.02937329254,0.09372356154)	(0.835493378,-0.2367878493)	(-0.007421873259,-0.01637406015)	(-0.0281705895,0.1032321237)	(0.8260281083,-0.2689065908)
	(-0.04028675725,0.1390704943)	(0.8272852631,-0.2566459295)	(-0.04732520197,0.1441424237)	(0.8348112667,-0.2267791804)	(-0.02627758205,0.1127315623)
	(0.8152206718,-0.3005763886)	(-0.01007501917,-0.01852464012)	(-0.02015671365,0.1000769903)	(0.8068707942,-0.3255657385)	(-0.02942829864,0.148352457)
	(0.8024346776,-0.3290339281)	(-0.03717638488,0.1488764047)	(0.8168154046,-0.2884589826)	(-0.01483297844,0.08713514994)	(0.7976617462,-0.3503337466)
	(-0.00847785081,-0.01358243318)	(-0.02272558631,0.1358421488)	(0.7934857634,-0.3535979912)	(1.03349592e-32,-1.641553645e-32)	(0.7941212735,-0.3631217218)
	(0.0001039503352,-8.403164868e-05)	(9.8352349e-33,-1.721660431e-32)	(0.7772117281,-0.3997492945)	(-0.006669204773,0.0555032889)	(0.7812761424,-0.3896647605)
	(-0.00706363328,0.04371293813)	(0.7964590764,-0.3566602972)	(-0.01274063582,0.09908899714)	(0.7824363378,-0.3833952063)	(8.28560338e-33,-1.804349231e-32)
	(0.7383234574,-0.4703409645)	(8.846572752e-33,-1.731296596e-32)	(0.7585878884,-0.4354957967)	(-9.741201136e-06,2.29656021e-06)	(-0.004161070807,0.05572709834)
	(0.7631239726,-0.4256242021)	(-0.001510672976,0.0434395246)	(0.7461978875,-0.4563637415)	(-0.1069392452,0.150320634)	(0.8557721117,0.03424073701)
	(-0.003468654216,-0.03452131303)	(-0.1326597708,0.1909686249)	(0.8516855099,0.02026360001)	(-0.1199282406,0.1567613386)	(0.8521603743,0.06362535659)
	(-0.107027383,0.1628697595)	(0.8563141449,0.001069333072)	(-0.106272224,0.1755652952)	(0.8554840088,-0.03209435979)	(-0.006748090534,-0.0378373691)
	(-0.07936384638,0.1535968217)	(0.8557713915,-0.08909348052)	(-0.007797349924,-0.03118784957)	(-0.1309757414,0.2042942048)	(0.8514152798,-0.01288811054)
	(-0.08435560615,0.177304061)	(0.8507077559,-0.1192039235)	(-0.09241617079,0.1649962357)	(0.8561690317,-0.06052663039)	(-0.1041484406,0.2020510078)
	(0.8501127173,-0.09363972)	(-0.1185980574,0.2122088947)	(0.850240358,-0.06551838148)	(-1.663710434e-33,1.820155892e-32)	(-0.4597592739,0.7462599236)
	(-1.289990298e-32,1.319436081e-32)	(-0.8400318378,0.2731841815)	(-7.284422071e-05,5.545035787e-05)	(0.01751930062,-0.05340425943)	(-0.8409830193,0.2680435719)
	(-1.384241216e-32,1.297766448e-32)	(-0.8521474315,0.2342234764)	(0.01430767387,-0.05068513334)	(-0.8287598751,0.3030308392)	(-1.399488171e-32,1.196417126e-32)
	(-0.8623543231,0.1946116287)	(-5.08545871e-05,4.139483761e-05)	(0.02531195896,-0.06060094021)	(-0.8600009673,0.2001709243)	(0.01949878062,-0.04217486146)
