x,DNS
4407.96,0.00963504
4460.18,0.0116788
4535.87,0.0144526
4588.07,0.0163504
4648.06,0.0181022
4736.74,0.0207299
4788.9,0.0221898
4851.48,0.0237956
4924.45,0.0254015
5005.23,0.0270073
5073,0.0284672
5153.75,0.029781
5229.27,0.0308029
5312.61,0.0319708
5414.16,0.0331387
5554.74,0.0345985
5669.26,0.0354745
5796.8,0.0364964
5913.92,0.0373723
6067.46,0.0383942
6205.39,0.0392701
6327.7,0.04
6400.56,0.040438
6535.89,0.0413139
6655.61,0.0421898
6803.95,0.0432117
6928.88,0.0440876
6999.16,0.0446715
