22269	
	(0.00148192368,0.001879596361)	(0.0003225182826,0.0003700311119)	(-0.01962951081,-0.01802728881)	(0.002136633195,0.002834132596)	(0.0004031019641,0.0004441877065)
	(0.002098904596,0.002719997274)	(0.0004228781732,0.0004650924067)	(0.001422890917,0.001874417832)	(0.0002831294833,0.0003343906597)	(0.002166087395,0.002705980201)
	(0.0004770619984,0.0005141314853)	(0.001390330603,0.001902206864)	(0.0002478708763,0.0002990047098)	(-0.01959379665,-0.01864439375)	(0.002175552564,0.00264528682)
	(0.0005122136821,0.0005445592136)	(0.00250433884,0.002667229514)	(0.0007823045791,0.000749846794)	(-0.01944233926,-0.01658653932)	(0.002594620915,0.002826452223)
	(0.0007695237384,0.0007458057511)	(0.002936831637,0.003031799778)	(0.0009625026454,0.0008834151627)	(0.00315173689,0.003317534382)	(0.0009847034419,0.0009052510233)
	(0.002696055557,0.003002722858)	(0.0007609302145,0.0007436699309)	(-0.01950934564,-0.01712910826)	(0.003381472078,0.003708349255)	(0.0009608669958,0.0008921761269)
	(0.002779470597,0.003169705748)	(0.0007436774863,0.0007332738652)	(0.003237419539,0.003483267334)	(0.0009629410597,0.0008928286443)	(0.003572556483,0.003646681966)
	(0.001168690191,0.00103017817)	(0.003374528378,0.003377946694)	(0.001155099997,0.001015323216)	(-0.01933506718,-0.01619128013)	(0.003079266731,0.002986187314)
	(0.001130055931,0.0009832872197)	(-0.01925121576,-0.015744151)	(0.003769841515,0.003567905521)	(0.001412186405,0.001170296463)	(0.003300292587,0.003113798899)
	(0.001264439601,0.001067220042)	(0.003223054094,0.003176090645)	(0.00114213193,0.0009997299021)	(0.00390399049,0.003753268264)	(0.001413785215,0.00117744805)
	(0.003949417301,0.003897767327)	(0.001359386758,0.001149738)	(0.001602701072,0.002599857063)	(0.0001552366591,0.0001678731307)	(0.002544236471,0.003566291584)
	(0.0004009607183,0.0004140549942)	(0.001669562844,0.00261821749)	(0.0001850721117,0.000207153574)	(-0.0193790712,-0.01979655233)	(0.002084265602,0.003130731593)
	(0.0002671806398,0.0002841893338)	(0.002619230532,0.003879207878)	(0.0003430049779,0.0003265211605)	(0.002517925218,0.003628425762)	(0.0003639006351,0.0003692842439)
	(-0.01940110371,-0.01944607591)	(0.003193819732,0.004397129844)	(0.000514076407,0.000479639363)	(0.003054095006,0.00434321572)	(0.000447717522,0.0004115324662)
	(0.002428541988,0.003725343433)	(0.0002831441447,0.0002639968919)	(0.003327712629,0.00433170752)	(0.0006249412283,0.0005955372553)	(0.002581740514,0.003520045977)
	(0.0004410317218,0.0004583543229)	(-0.01948466377,-0.01902400884)	(0.003238237883,0.004340814099)	(0.0005624153227,0.0005335425195)	(0.002722067962,0.00360566451)
	(0.0005018354195,0.0005158067385)	(-1.474884609e-35,-3.221262043e-35)	(-1.995517161e-34,-2.194388457e-34)	(0.0006495826333,0.00134290052)	(5.43108104e-06,-1.65655719e-05)
	(0.002349548444,0.003722375581)	(0.0002434037904,0.0002117608398)	(-1.614081642e-35,-3.235590561e-35)	(-2.011380214e-34,-2.159739506e-34)	(0.001520793078,0.002637521984)
	(0.0001071157899,9.42573357e-05)	(0.00230643689,0.003770825016)	(0.0002101053044,0.0001604779592)	(-7.742149565e-36,-1.617005863e-35)	(-1.001545342e-34,-1.088094503e-34)
	(-0.01911865868,-0.02076907033)	(-6.102380533e-36,-1.436145754e-35)	(-1.006259744e-34,-1.066935531e-34)	(-0.0192907087,-0.02040750603)	(0.0007585015101,0.001357556987)
	(4.657554922e-05,5.933200854e-05)	(0.00155006931,0.002602287646)	(0.000129057347,0.0001302525335)	(-0.01923428274,-0.02016760974)	(0.0007604172697,0.001509064361)
	(1.692966417e-05,-2.327817451e-07)	(0.0007149736772,0.001379015828)	(2.182275802e-05,1.498881967e-05)	(0.0007574203447,0.001403992104)	(3.306942466e-05,3.434764575e-05)
	(0.001341789514,0.001270846021)	(0.0005393414763,0.0004907746779)	(-0.0190794169,-0.01493402182)	(0.001323911892,0.001220013292)	(0.0005576302425,0.0004945231751)
	(0.002009417166,0.001831086429)	(0.0008495643217,0.0007298417649)	(0.002009201874,0.001873618819)	(0.0008170030013,0.0007169269183)	(0.002011789378,0.001783979152)
	(0.0008924412408,0.0007481694852)	(0.001325658835,0.001187928608)	(0.0005888729495,0.0005090404924)	(-0.01885002488,-0.01430213546)	(2.733106566e-35,1.805339418e-35)
	(-9.523628061e-35,-7.11450196e-35)	(-0.01866168973,-0.01374612604)	(0.0006613219303,0.0005880291413)	(0.0003046840558,0.0002663800627)	(0.002002092963,0.001731472693)
	(0.0009264790728,0.0007592006548)	(0.001397015232,0.001211810447)	(0.0006546061677,0.0005475039541)	(0.0007571837573,0.000651367502)	(0.0003645953793,0.0003077085907)
	(5.504197479e-35,3.606732873e-35)	(-1.941893629e-34,-1.430082606e-34)	(0.0007709500448,0.0006463494554)	(0.0003823462866,0.0003143802277)	(6.389703377e-35,4.186307183e-35)
	(-1.854782577e-34,-1.32655481e-34)	(2.864349837e-35,1.860582667e-35)	(-9.550653151e-35,-6.936850208e-35)	(-0.01841604621,-0.01319077718)	(0.0007750940399,0.0006304249878)
	(0.0004091508353,0.0003266469335)	(0.002658205825,0.002386088474)	(0.001132635033,0.0009394593661)	(0.002656194166,0.002438974658)	(0.00108931597,0.0009219894999)
	(-0.01904401911,-0.01497850809)	(0.003257681614,0.002901062386)	(0.001381706624,0.00111432359)	(0.003097583365,0.002844300689)	(0.001253571982,0.001043649906)
	(0.004148716232,0.003699611381)	(0.001704518628,0.00132861749)	(0.003680381248,0.003277828475)	(0.001539759965,0.001222105257)	(0.00353092867,0.003241002293)
	(0.001409759041,0.001153353017)	(-0.01908882958,-0.01524625265)	(0.003987922294,0.003673451351)	(0.001556819056,0.001252478435)	(0.0006318687103,0.001362589609)
	(-3.982551907e-06,-3.881306403e-05)	(-1.071059839e-35,-2.085956731e-35)	(-9.839223592e-35,-1.095159886e-34)	(-0.0189416404,-0.02115816897)	(0.0005937471895,0.001340337105)
	(-1.359674976e-05,-6.147032865e-05)	(-2.514070017e-35,-4.494781123e-35)	(-1.942385209e-34,-2.190186025e-34)	(0.003107587428,0.004802154568)	(0.0003409435269,0.0002344432613)
